"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"1";"historical";1;2001;0,236394891126991;1;0;0,122273219548443
"2";"rcp8p5";1;2001;0,405555405841698;2;0;0,139846691669551
"3";"historical";2;2001;0,0260856496662048;0;0;0,0372652138088639
"4";"rcp8p5";2;2001;2,3314179232528;8;0;0,264933854915091
"5";"historical";3;2001;0,109662906032638;0;0;0,113444385551005
"6";"rcp8p5";3;2001;0,873303591405295;4;0;0,211283126952894
"7";"historical";4;2001;0,100843568199473;1;0;0,0840363068328941
"8";"rcp8p5";4;2001;0,0159089557132158;0;0;0,0318179114264317
"9";"historical";5;2001;0,0423627244332151;0;0;0,0635440866498226
"10";"rcp8p5";5;2001;2,58864302155335;8;0;0,319585558216463
"11";"historical";6;2001;0,0857898948023726;1;0;0,0735341955448908
"12";"rcp8p5";6;2001;0,690057750536791;2;0;0,265406827129535
"13";"historical";7;2001;0,0452380503057334;0;0;0,123376500833818
"14";"rcp8p5";7;2001;4,8836870851068;6;0;0,70100771556557
"15";"historical";8;2001;0,131287580427994;0;0;0,135814738373787
"16";"rcp8p5";8;2001;2,1382163905638;6;0;0,32073245858457
"17";"historical";9;2001;0,13702905294569;0;0;0,195755789922414
"18";"rcp8p5";9;2001;2,13625138751833;4;0;0,433023929902364
"19";"rcp8p5";10;2001;0,901722665017628;2;0;0,314554418029405
"20";"historical";16;2001;55,0090438786331;72;7;0,764014498314348
"21";"rcp8p5";16;2001;55,2828886461299;72;7;0,75938033854574
"22";"historical";17;2001;59,4658790406913;71;7;0,836761900197345
"23";"rcp8p5";17;2001;94,8321473878178;94;7;1,00069096786301
"24";"historical";18;2001;57,8050867883718;74;6;0,777298343187429
"25";"rcp8p5";18;2001;82,5027342243786;96;8;0,85821152105803
"26";"historical";19;2001;61,2182641625689;69;6;0,887221219747376
"27";"rcp8p5";19;2001;67,8593355060702;76;6;0,882436092406634
"28";"historical";20;2001;61,1658754997103;82;7;0,7408059204648
"29";"rcp8p5";20;2001;82,7978760946511;89;6;0,923053245202353
"30";"historical";1;6007;7,6256357799044;5;0;1,51502697613995
"31";"rcp8p5";1;6007;12,9840562723127;8;0;1,55808675267752
"32";"historical";2;6007;5,56698995205179;4;0;1,18446594724506
"33";"rcp8p5";2;6007;41,2426398150588;20;1;2,04508957760622
"34";"historical";3;6007;6,80628999372525;4;0;1,37039395846817
"35";"rcp8p5";3;6007;19,6131961910499;13;0;1,4821055056209
"36";"historical";4;6007;8,13038358403662;5;0;1,45185421143511
"37";"rcp8p5";4;6007;12,8866155798453;8;0;1,49265817527165
"38";"historical";5;6007;2,05981697186901;2;0;0,8130856467904
"39";"rcp8p5";5;6007;34,4320571485611;16;0;2,06592342891366
