"";"station";"variable";"p5";"p25";"p50";"p75";"p95"
"1";2001;"deficit30";-24,9187649632465;39,0459298384474;696,352771415142;3769,65660017496;Inf
"2";2001;"duration30";-0,3;1,5;6;7,5;22,3
"3";2001;"count30";-0,3;0;0;0;0,599999999999998
"4";2001;"intensity30";-19,0659574127411;12,390918996385;86,2437933148317;331,932484933657;Inf
"5";6007;"deficit30";23,3441701224047;64,3839932730075;89,039076441542;514,161174273396;1860,34405853343
"6";6007;"duration30";3;3;7;15;24,8
"7";6007;"count30";-0,3;0;0;1;1
"8";6007;"intensity30";-10,2900030488173;3,96308255705084;12,2189508236629;94,254200534075;161,064974708312
"9";6008;"deficit30";-25,1564207140515;76,8055951220891;134,186912115718;1355,62088853483;Inf
"10";6008;"duration30";0;1,5;5;15;27,2
"11";6008;"count30";0;0;0;1;3
"12";6008;"intensity30";-33,2658429844866;5,58158722826485;23,7432078833669;114,33552351675;Inf
"13";7002;"deficit30";-6,09870331229549;51,0058075205412;64,2530970065423;187,293707460016;1317,81492850006
"14";7002;"duration30";-2,4;3,5;9;16,75;21,85
"15";7002;"count30";0;0;0;0,75;1,55
"16";7002;"intensity30";-15,5784592246506;-6,26105795725728;10,3485090737615;37,8138109948457;96,0140742980332
"17";7004;"deficit30";15,7197153494464;66,931506632749;192,970255493281;35618,6752326016;Inf
"18";7004;"duration30";1;3,25;5;17,75;23,2
"19";7004;"count30";0;0;0;1,75;2
"20";7004;"intensity30";-11,0171284293707;-2,21319041251332;14,2342971283293;627,747405948932;Inf
"21";8004;"deficit30";-30,5444543262614;-5,73366964807815;33,8902220935886;39,4338283217525;45,1032257646703
"22";8004;"duration30";-9,4;1;16;17;20,2
"23";8004;"count30";-0,8;0;1;1;3,4
"24";8004;"intensity30";-12,8483748928514;-8,12183846769053;0,183512772149007;1,55640707913314;5,70796000399467
"25";8005;"deficit30";-44,6246018960382;47,9740580253102;78,8899330770682;31180,6317319482;Inf
"26";8005;"duration30";0;0;3;8;23,8
"27";8005;"count30";0;0;0;0;1
"28";8005;"intensity30";-44,3945102141657;4,91885283046487;21,074355340184;617,445681925418;Inf
"29";8006;"deficit30";-0,521624540262922;53,8680430126398;70,0368928736368;Inf;Inf
"30";8006;"duration30";-2;0,5;4;11,5;24
"31";8006;"count30";-0,5;0;0;0;1
"32";8006;"intensity30";-2,58397190362551;13,2958754613154;24,2712850029969;Inf;Inf
"33";8009;"deficit30";2,15334654653719;68,9998992264634;103,548755515892;171,237464318083;503,258388386293
"34";8009;"duration30";0,85;9;16;22,25;25,55
"35";8009;"count30";0;0,25;1;1;2
"36";8009;"intensity30";-1,43519015554698;8,71476629573268;16,0896053896056;19,5551007710318;59,0584164925634
"37";9001;"deficit30";-33,0945807632493;-4,87502049938593;32,9456850682143;43,0016473797689;45,5539092449424
"38";9001;"duration30";-11,6;-2;13;15;17,4
